building_CD

[OBJECT:BUILDING]

{!SHARED_BUILDING_WORKSHOP;CD_ENTITY;NULL;
	[NAME:entity buillding]
	[NAME_COLOR:7:0:1]
	[DIM:3:3]
	[WORK_LOCATION:1:1]
	[BLOCK:1:0:0:0]
	[BLOCK:2:0:0:0]
	[BLOCK:3:0:0:0]
	[TILE:0:1:'`':'`':'`']
	[TILE:0:2:'`':'`':'`']
	[TILE:0:3:'`':'`':'`']
	[COLOR:0:1:7:0:1:7:0:1:7:0:1]
	[COLOR:0:2:7:0:1:7:0:1:7:0:1]
	[COLOR:0:3:7:0:1:7:0:1:7:0:1]
	[TILE:1:1:'`':'`':'`']
	[TILE:1:2:'`':'`':'`']
	[TILE:1:3:'`':'`':'`']
	[COLOR:1:1:7:0:1:7:0:1:7:0:1]
	[COLOR:1:2:7:0:1:7:0:1:7:0:1]
	[COLOR:1:3:7:0:1:7:0:1:7:0:1]
}

{!SHARED_BUILDING_WORKSHOP;CD_WORKSHOP_MERCHANT;NULL;
	[NAME:Merchant Stall]
	[NAME_COLOR:7:0:1]
	[DIM:5:5]
	[WORK_LOCATION:3:4]
	[BUILD_LABOR:ARCHITECT]
	[BLOCK:1:1:1:1:1:1]
	[BLOCK:2:1:0:0:0:1]
	[BLOCK:3:1:1:1:1:1]
	[BLOCK:4:0:0:0:0:0]
	[BLOCK:5:1:0:0:0:1]
	[TILE:0:1:'`':'`':'`':'`':'`']
	[TILE:0:2:'`':'`':'`':'`':'`']
	[TILE:0:3:'`':'`':'`':'`':'`']
	[TILE:0:4:'`':'`':'`':'`':'`']
	[TILE:0:5:'`':'`':'`':'`':'`']
	[COLOR:0:1:7:0:1:7:0:1:7:0:1:7:0:1:7:0:1]
	[COLOR:0:2:7:0:1:7:0:0:7:0:1:7:0:0:7:0:1]
	[COLOR:0:3:7:0:1:7:0:1:7:0:1:7:0:1:7:0:1]
	[COLOR:0:4:7:0:0:7:0:0:7:0:0:7:0:0:7:0:0]
	[COLOR:0:5:7:0:1:7:0:0:7:0:0:7:0:0:7:0:1]
	[TILE:1:1:209:146:146:146:146]
	[TILE:1:2:209:'`':1:'`':241]
	[TILE:1:3:209:209:209:209:209]
	[TILE:1:4:'`':'`':'`':'`':'`']
	[TILE:1:5:241:'`':'`':'`':145]
	[COLOR:1:1:7:0:0:7:0:0:7:0:0:7:0:0:7:0:0]
	[COLOR:1:2:7:0:0:7:0:0:7:0:0:7:0:0:6:0:0]
	[COLOR:1:3:7:0:0:7:0:0:7:0:0:7:0:0:7:0:0]
	[COLOR:1:4:7:0:0:7:0:0:7:0:0:7:0:0:7:0:0]
	[COLOR:1:5:6:0:0:7:0:0:7:0:0:7:0:0:7:0:0]
	[BUILD_ITEM:5:BLOCKS:NONE:NONE:NONE]
	[BUILDMAT]
	[WORTHLESS_STONE_ONLY]
	[BUILD_ITEM:7:TABLE:NONE:NONE:NONE]
	[BUILD_ITEM:5:BOX:NONE:NONE:NONE]
	[EMPTY]
	[BUILD_ITEM:1:CHAIR:NONE:NONE:NONE]
}

{!SHARED_BUILDING_WORKSHOP;CD_WORKSHOP_TAVERN;NULL;
	[NAME:Tavern]
	[NAME_COLOR:7:0:1]
	[DIM:5:5]
	[WORK_LOCATION:3:4]
	[BUILD_LABOR:ARCHITECT]
	[BLOCK:1:1:1:1:1:1]
	[BLOCK:2:1:0:0:0:1]
	[BLOCK:3:1:1:1:1:1]
	[BLOCK:4:1:0:0:0:1]
	[BLOCK:5:1:1:0:1:1]
	[TILE:0:1:'`':'`':'`':'`':'`']
	[TILE:0:2:'`':'`':'`':'`':'`']
	[TILE:0:3:'`':'`':'`':'`':'`']
	[TILE:0:4:'`':'`':'`':'`':'`']
	[TILE:0:5:'`':'`':'`':'`':'`']
	[COLOR:0:1:7:0:1:7:0:1:7:0:1:7:0:1:7:0:1]
	[COLOR:0:2:7:0:1:7:0:1:7:0:1:7:0:1:7:0:1]
	[COLOR:0:3:7:0:1:7:0:1:7:0:1:7:0:1:7:0:1]
	[COLOR:0:4:7:0:1:7:0:0:7:0:0:7:0:0:7:0:1]
	[COLOR:0:5:7:0:1:7:0:1:7:0:1:7:0:1:7:0:1]
	[TILE:1:1:201:205:205:205:187]
	[TILE:1:2:186:145:1:146:186]
	[TILE:1:3:186:209:209:209:186]
	[TILE:1:4:186:'`':'`':'`':186]
	[TILE:1:5:200:205:197:205:188]
	[COLOR:1:1:7:0:0:7:0:0:7:0:0:7:0:0:7:0:0]
	[COLOR:1:2:7:0:0:7:0:0:7:0:0:7:0:0:7:0:0]
	[COLOR:1:3:7:0:0:7:0:0:7:0:0:7:0:0:7:0:0]
	[COLOR:1:4:7:0:0:7:0:0:7:0:0:7:0:0:7:0:0]
	[COLOR:1:5:7:0:0:7:0:0:7:0:0:7:0:0:7:0:0]
